replication,availability,failures,effective_supply_aircraft_hours,fulfillment,requested,started,completed,aborted,cancelled,aircraft_sorties,completed_aircraft_sorties,preparation_aircraft_hours,ready_aircraft_hours,all_completed,out_aircraft_hours,on_station_aircraft_hours,return_aircraft_hours,abort_return_aircraft_hours,successful,requested_aircraft_sorties,successful_aircraft_sorties,started_rate,success_rate,completion_rate,all_successful
96,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
97,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
98,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
99,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
100,0.9846579820359282,2,26.64610051926532,0.49344630591232075,9,6,4,2,3,12,8,9.0,88.43402537096063,0,5.421247045895441,17.22485347336988,5.421247045895441,1.4212470458954414,4,18,8,0.6666666666666666,0.4444444444444444,0.4444444444444444,0
101,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
102,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
103,0.9811865442312507,1,31.14789279617267,0.5768128295587531,9,6,5,1,3,12,10,9.0,83.64296957312743,0,6.0,20.14789279617267,6.0,1.0,5,18,10,0.6666666666666666,0.5555555555555556,0.5555555555555556,0
104,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
105,1.0,0,36.0,0.6666666666666666,9,6,6,0,3,12,12,9.0,82.0,0,6.0,24.0,6.0,0.0,6,18,12,0.6666666666666666,0.6666666666666666,0.6666666666666666,0
